date,temperature,humidity,luminosity
2019-12-11 14:56:04.038,AA04,"22.3,32.3",261
2019-12-11 14:56:06.311,AA04,"22.3,32.3",261
2019-12-11 14:56:08.587,AA04,"22.3,32.3",263
2019-12-11 14:56:10.861,AA04,"22.3,32.3",263
2019-12-11 14:56:13.134,AA04,"22.3,32.1",263
2019-12-11 14:56:15.407,AA04,"22.3,32.0",258
2019-12-11 14:56:17.680,AA04,"22.3,31.9",258
2019-12-11 14:56:19.958,AA04,"22.3,31.9",258
2019-12-11 14:56:22.231,AA04,"22.3,31.9",258
2019-12-11 14:56:24.504,AA04,"22.3,32.0",256
2019-12-11 14:56:26.778,AA04,"22.3,32.0",258
2019-12-11 14:56:29.055,AA04,"22.3,31.9",260
2019-12-11 14:56:31.328,AA04,"22.3,31.8",261
2019-12-11 14:56:33.602,AA04,"22.3,31.8",263
2019-12-11 14:56:35.874,AA04,"22.3,31.8",263
2019-12-11 14:56:38.152,AA04,"22.3,31.8",263
2019-12-11 14:56:40.426,AA04,"22.3,31.8",263
2019-12-11 14:56:42.699,AA04,"22.3,31.9",263
2019-12-11 14:56:44.972,AA04,"22.3,32.0",263
2019-12-11 14:56:47.249,AA04,"22.3,32.1",263
2019-12-11 14:56:49.523,AA04,"22.3,32.2",263
2019-12-11 14:56:51.796,AA04,"22.3,32.3",261
2019-12-11 14:56:54.070,AA04,"22.3,32.4",263
2019-12-11 14:56:56.343,AA04,"22.3,32.4",265
2019-12-11 14:56:58.620,AA04,"22.3,32.4",265
2019-12-11 14:57:00.894,AA04,"22.3,32.4",263
2019-12-11 14:57:03.167,AA04,"22.3,32.3",263
2019-12-11 14:57:05.439,AA04,"22.3,32.2",263
2019-12-11 14:57:07.714,AA04,"22.3,32.2",263
2019-12-11 14:57:09.991,AA04,"22.3,32.1",263
2019-12-11 14:57:12.263,AA04,"22.3,32.1",265
2019-12-11 14:57:14.536,AA04,"22.3,32.0",265
2019-12-11 14:57:16.811,AA04,"22.3,32.0",261
2019-12-11 14:57:19.084,AA04,"22.3,32.1",261
2019-12-11 14:57:21.357,AA04,"22.3,32.1",261
2019-12-11 14:57:23.634,AA04,"22.3,32.1",265
2019-12-11 14:57:25.906,AA04,"22.3,32.0",263
2019-12-11 14:57:28.179,AA04,"22.3,32.0",263
2019-12-11 14:57:30.454,AA04,"22.3,32.0",263
2019-12-11 14:57:32.727,AA04,"22.3,32.0",263
2019-12-11 14:57:35.004,AA04,"22.3,32.0",263
2019-12-11 14:57:37.278,AA04,"22.3,32.0",263
2019-12-11 14:57:39.551,AA04,"22.3,32.0",263
2019-12-11 14:57:41.824,AA04,"22.3,31.9",263
2019-12-11 14:57:44.097,AA04,"22.3,31.9",263
2019-12-11 14:57:46.375,AA04,"22.3,31.8",261
2019-12-11 14:57:48.647,AA04,"22.3,31.8",263
2019-12-11 14:57:50.922,AA04,"22.3,31.8",263
2019-12-11 14:57:53.193,AA04,"22.3,31.7",263
2019-12-11 14:57:55.471,AA04,"22.3,31.7",265
2019-12-11 14:57:57.744,AA04,"22.3,31.7",265
2019-12-11 14:58:00.017,AA04,"22.3,31.7",263
2019-12-11 14:58:02.291,AA04,"22.3,31.7",265
2019-12-11 14:58:04.568,AA04,"22.3,31.8",265
2019-12-11 14:58:06.841,AA04,"22.3,31.9",265
2019-12-11 14:58:09.115,AA04,"22.3,32.1",263
2019-12-11 14:58:11.388,AA04,"22.3,32.2",265
2019-12-11 14:58:13.665,AA04,"22.3,32.3",263
2019-12-11 14:58:15.937,AA04,"22.3,32.3",263
2019-12-11 14:58:18.212,AA04,"22.3,32.2",263
2019-12-11 14:58:20.485,AA04,"22.3,32.2",263
2019-12-11 14:58:22.758,AA04,"22.3,32.2",263
2019-12-11 14:58:25.036,AA04,"22.3,32.1",265
2019-12-11 14:58:27.309,AA04,"22.3,32.0",265
2019-12-11 14:58:29.582,AA04,"22.3,32.0",263
2019-12-11 14:58:31.855,AA04,"22.3,32.0",265
2019-12-11 14:58:34.128,AA04,"22.3,31.9",263
2019-12-11 14:58:36.404,AA04,"22.2,31.8",265
2019-12-11 14:58:38.679,AA04,"22.2,31.9",263
2019-12-11 14:58:40.952,AA04,"22.2,31.8",265
2019-12-11 14:58:43.225,AA04,"22.2,31.8",265
2019-12-11 14:58:45.503,AA04,"22.2,31.7",265
2019-12-11 14:58:47.776,AA04,"22.2,31.7",265
2019-12-11 14:58:50.048,AA04,"22.2,31.8",265
2019-12-11 14:58:52.322,AA04,"22.2,31.8",265
2019-12-11 14:58:54.600,AA04,"22.2,31.8",265
2019-12-11 14:58:56.872,AA04,"22.2,31.8",265
2019-12-11 14:58:59.146,AA04,"22.2,31.7",265
2019-12-11 14:59:01.419,AA04,"22.3,31.7",263
2019-12-11 14:59:03.691,AA04,"22.2,31.6",263
2019-12-11 14:59:05.970,AA04,"22.2,31.5",265
2019-12-11 14:59:08.243,AA04,"22.2,31.5",261
2019-12-11 14:59:10.516,AA04,"22.2,31.5",263
2019-12-11 14:59:12.790,AA04,"22.2,31.5",265
2019-12-11 14:59:15.067,AA04,"22.2,31.6",263
2019-12-11 14:59:17.340,AA04,"22.2,31.7",263
2019-12-11 14:59:19.614,AA04,"22.2,31.6",263
2019-12-11 14:59:21.887,AA04,"22.2,31.6",261
2019-12-11 14:59:24.165,AA04,"22.2,31.5",261
2019-12-11 14:59:26.436,AA04,"22.2,31.5",261
2019-12-11 14:59:28.710,AA04,"22.2,31.5",263
2019-12-11 14:59:30.983,AA04,"22.2,31.5",263
2019-12-11 14:59:33.257,AA04,"22.3,31.8",265
2019-12-11 14:59:35.534,AA04,"22.2,31.8",263
2019-12-11 14:59:37.808,AA04,"22.2,32.0",260
2019-12-11 14:59:40.081,AA04,"22.3,32.3",261
2019-12-11 14:59:42.354,AA04,"22.3,32.6",263
2019-12-11 14:59:44.631,AA04,"22.2,32.7",263
2019-12-11 14:59:46.903,AA04,"22.3,32.9",263
2019-12-11 14:59:49.178,AA04,"22.2,33.0",263
2019-12-11 14:59:51.451,AA04,"22.2,33.1",263
2019-12-11 14:59:53.724,AA04,"22.2,33.0",261
2019-12-11 14:59:56.001,AA04,"22.2,33.0",261
2019-12-11 14:59:58.275,AA04,"22.2,33.0",261
2019-12-11 15:00:00.547,AA04,"22.2,33.1",261
2019-12-11 15:00:02.822,AA04,"22.2,33.2",260
2019-12-11 15:00:05.099,AA04,"22.2,33.2",261
2019-12-11 15:00:07.372,AA04,"22.3,33.6",261
2019-12-11 15:00:09.645,AA04,"22.3,33.7",261
2019-12-11 15:00:11.918,AA04,"22.2,33.7",260
2019-12-11 15:00:14.191,AA04,"22.2,33.7",263
2019-12-11 15:00:16.469,AA04,"22.3,33.8",263
2019-12-11 15:00:18.742,AA04,"22.2,33.6",263
2019-12-11 15:00:21.015,AA04,"22.3,33.6",263
2019-12-11 15:00:23.289,AA04,"22.3,33.5",263
2019-12-11 15:00:25.562,AA04,"22.3,33.5",261
2019-12-11 15:00:27.839,AA04,"22.3,33.3",261
2019-12-11 15:00:30.113,AA04,"22.3,33.4",261
2019-12-11 15:00:32.386,AA04,"22.3,33.4",263
2019-12-11 15:00:34.659,AA04,"22.3,33.4",265
2019-12-11 15:00:36.937,AA04,"22.3,33.4",265
2019-12-11 15:00:39.209,AA04,"22.3,33.3",265
2019-12-11 15:00:41.481,AA04,"22.3,33.1",265
2019-12-11 15:00:43.756,AA04,"22.3,33.1",261
2019-12-11 15:00:46.033,AA04,"22.3,33.1",261
2019-12-11 15:00:48.306,AA04,"22.3,33.0",261
2019-12-11 15:00:50.580,AA04,"22.3,32.8",265
2019-12-11 15:00:52.853,AA04,"22.3,32.8",263
2019-12-11 15:00:55.126,AA04,"22.3,32.8",263
2019-12-11 15:00:57.403,AA04,"22.3,33.1",261
2019-12-11 15:00:59.677,AA04,"22.3,33.1",261
2019-12-11 15:01:01.950,AA04,"22.3,33.1",261
2019-12-11 15:01:04.224,AA04,"22.3,33.0",261
2019-12-11 15:01:06.501,AA04,"22.3,32.8",261
2019-12-11 15:01:08.774,AA04,"22.3,32.6",263
2019-12-11 15:01:11.048,AA04,"22.2,32.5",263
2019-12-11 15:01:13.320,AA04,"22.2,32.8",263
2019-12-11 15:01:15.593,AA04,"22.2,33.0",263
2019-12-11 15:01:17.870,AA04,"22.2,33.2",263
2019-12-11 15:01:20.143,AA04,"22.2,33.4",263
2019-12-11 15:01:22.417,AA04,"22.2,33.6",261
2019-12-11 15:01:24.691,AA04,"22.2,33.6",263
2019-12-11 15:01:26.968,AA04,"22.2,33.7",263
2019-12-11 15:01:29.240,AA04,"22.3,33.9",261
2019-12-11 15:01:31.515,AA04,"22.2,33.8",261
2019-12-11 15:01:33.788,AA04,"22.3,33.8",263
2019-12-11 15:01:36.061,AA04,"22.3,33.8",261
2019-12-11 15:01:38.339,AA04,"22.2,33.5",261
2019-12-11 15:01:40.612,AA04,"22.2,33.3",260
2019-12-11 15:01:42.885,AA04,"22.2,33.2",261
2019-12-11 15:01:45.158,AA04,"22.3,33.1",261
2019-12-11 15:01:47.435,AA04,"22.3,33.0",265
2019-12-11 15:01:49.708,AA04,"22.3,33.0",263
2019-12-11 15:01:51.983,AA04,"22.2,32.9",263
2019-12-11 15:01:54.256,AA04,"22.2,32.8",263
2019-12-11 15:01:56.529,AA04,"22.2,32.7",263
2019-12-11 15:01:58.807,AA04,"22.2,32.7",260
2019-12-11 15:02:01.080,AA04,"22.3,32.9",263
2019-12-11 15:02:03.353,AA04,"22.2,32.8",261
2019-12-11 15:02:05.627,AA04,"22.2,32.8",261
2019-12-11 15:02:07.900,AA04,"22.2,32.7",263
2019-12-11 15:02:10.177,AA04,"22.2,32.6",263
2019-12-11 15:02:12.450,AA04,"22.2,32.5",263
2019-12-11 15:02:14.723,AA04,"22.3,32.6",261
2019-12-11 15:02:16.996,AA04,"22.2,32.6",263
2019-12-11 15:02:19.270,AA04,"22.2,32.6",263
